Name,ForeignID,Default terminal,Monthly Diesel Quota,Street,Bandar,State,District,"Region (North, South, East or Central)",Email,Telephone,Accessibilty Roadtanker,Next Critical Stock,"Latitude/Longitude, Road",Status,Sold to Name,Sold to ID,ShipTo ID,Sales Organisation for SAP field,Postcode,"Position Method, Road","Position Method, Home",POI,Planned Trips,Overridden terminal for 97,Order Type 2,Order Type 1,Opening time,No delivery start 2,No delivery start 1,No delivery end 2,No delivery end 1,Name2,Mobile,Marked for export,"Latitude/Longitude, Home",Last Visit,Last changed by user,Last changed,Just in Time + 1,Just in Time,House Suffix,House Number,GPS-validated,Fax,Division for SAP field,Distribution Channel for SAP field,CUSTOMERINFOTEXT23,Customer type,Customer Group,Created by user,Created,Country Code,Country,"Coordinate, Road","Coordinate, Home",Contact Name,Consolidation Group,Closing time,Binary opening weekdays string,Alternative Street,Address District
,NaN,,,", , LOT 3612, PERSIARAN PUTRA BISTARI",SUBANG JAYA,SEL,,CENTRAL,,,5460,(Invalid),"(2.058811, 102.559750)",Default,,NaN,NaN,,47620,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(2.058811, 102.559750)",(Invalid),STARSPRD01_ImportServer,11/10/16 11:09,(Invalid),(Invalid),,,FALSE,,,,,ASR,- Invalid -,STARSPRD01_ImportServer,07/10/16 17:26,,Malaysia,"(896113, 228004)","(896113, 228004)",,- Invalid -,23:59:00,1111111,,- Invalid -
AAN AZIZ ENTERPRISE,90032020,M829,92820,"LOT 57709 MUKIM PULAI, ,",KANGKAR PULAI,JOH,SOUTH2,SOUTH,syazwan_sulaiman@petronas.com.my,177712457,43680,11/10/16 15:03,"(1.558810, 103.595921)",Default,AAN AZIZ ENTERPRISE,90032020,90032020,D001,81110,,,Invalid,0,,- Invalid -,Retail_Delivery,6:00:00,,,,,,,FALSE,"(1.558810, 103.595921)",(Invalid),STARSPRD01_ImportServer,08/10/16 16:45,13/10/16 2:19,11/10/16 15:03,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:39,PEN,Malaysia,"(1011775, 172855)","(1011775, 172855)",,- Invalid -,23:00:00,1111111,,- Invalid -
ABADAN DUA ENTERPRISE,90018006,M808,136500,"LOT PT 833, MUKIM JERAM, BATU 17, SUNGAI SEMBILANG,",JERAM,SEL,CENTR1,CENTRAL,ezzatul_effa@petronas.com.my,193700080,21840,13/10/16 15:47,"(3.194097, 101.314855)",Default,ABADAN DUA ENTERPRISE,90018006,90018006,D001,45800,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(3.194097, 101.314855)",(Invalid),STARSPRD01_ImportServer,09/10/16 10:17,(Invalid),13/10/16 15:47,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:39,PEN,Malaysia,"(757258, 353337)","(757258, 353337)",,- Invalid -,23:59:00,1111111,,- Invalid -
ABADAN ENTERPRISE,90001993,M808,70980,"STESEN SERVIS PETRONAS, LOT PT 12911, JALAN HAJI SIRAT, TAMAN KLANG UTAMA",KLANG,SEL,CENTR1,CENTRAL,,193700080,43680,14/10/16 13:06,"(3.078767, 101.420977)",Default,ABADAN ENTERPRISE,90001993,90001993,D001,42100,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(3.078767, 101.420977)",(Invalid),STARSPRD01_ImportServer,03/10/16 16:32,14/10/16 13:06,12/10/16 5:14,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:39,PEN,Malaysia,"(769088, 340605)","(769088, 340605)",,- Invalid -,23:59:00,1111111,,- Invalid -
ABDUL MUIZI@ABD MUIZ BIN MARAHUDDIN,90009495,M817,147420,"PSS STESEN SERVIS PETRONAS, LOT PT 190 SIMPANG EMPAT,",HUTAN MELINTANG,PER,NORTH2,NORTH,azmir_arffin@petronas.com.my,195731937,43680,13/10/16 7:03,"(3.898378, 100.937674)",Default,ABDUL MUIZI@ABD MUIZ BIN MARAHUDDIN,90009495,90009495,D001,36400,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(3.898378, 100.937674)",(Invalid),STARSPRD01_ImportServer,11/10/16 1:05,(Invalid),13/10/16 7:03,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:39,PEN,Malaysia,"(715160, 431142)","(715160, 431142)",,- Invalid -,23:59:00,1111111,,- Invalid -
ABINA RESOURCES,90037719,M808,53075,"LOT 25,CP-8901, SEKSYEN 87, JALAN TUN RAZAK,",KUALA LUMPUR,PSK,CENTR2,CENTRAL,,102217105,32760,11/10/16 13:49,"(3.171664, 101.709463)",Default,ABINA RESOURCES,90037719,90037719,D001,50400,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,16:30:00,6:30:00,19:30:00,9:30:00,,,FALSE,"(3.171664, 101.709463)",(Invalid),STARSPRD01_ImportServer,09/10/16 8:57,12/10/16 14:39,11/10/16 13:49,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(801149, 350962)","(801149, 350962)",,- Invalid -,23:59:00,1111111,,- Invalid -
ABU SAMAH BIN BACHIK,90018063,M808,55447,"STESEN SERVIS PETRONAS, BATU 39 JALAN GAP,",KUALA KUBU BHARU,SEL,CENTR2,CENTRAL,fadzil_badarudin@petronas.com.my,193330642,43680,16/10/16 5:32,"(3.560330, 101.651275)",Default,ABU SAMAH BIN BACHIK,90018063,90018063,D001,44000,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,21:00:00,0:00:00,23:59:00,6:00:00,,,FALSE,"(3.560330, 101.651275)",(Invalid),STARSPRD01_ImportServer,04/10/16 18:11,16/10/16 3:39,11/10/16 22:30,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:39,PEN,Malaysia,"(794560, 393952)","(794560, 393952)",,- Invalid -,23:59:00,1111111,,- Invalid -
ACTGREEN SERVICE STATION,90038350,M808,291611,"LOT 10496, BANDAR BUKIT BERUNTUNG, ,",MUKIM SERENDAH,SEL,CENTR2,CENTRAL,fadzil_badarudin@petronas.com.my,192698999,54600,11/10/16 11:18,"(3.413403, 101.557738)",Default,ACTGREEN SERVICE STATION,90038350,90038350,D001,48200,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(3.413403, 101.557738)",(Invalid),STARSPRD01_ImportServer,09/10/16 10:37,12/10/16 8:53,11/10/16 11:18,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(784205, 377666)","(784205, 377666)",,- Invalid -,23:59:00,1111111,,- Invalid -
AD PETROL SERVIS STATION,90034350,M839,120120,"LOT 3902 KM 4, JALAN MARAN, ,",TEMERLOH,PAH,EAST2,EAST,irwandie.johari@petronas.com.my,199185546,43680,12/10/16 10:33,"(3.447937, 102.444644)",Default,AD PETROL SERVIS STATION,90034350,90034350,D001,28000,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(3.447937, 102.444644)",(Invalid),STARSPRD01_ImportServer,10/10/16 9:29,15/10/16 23:13,12/10/16 10:33,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(882844, 381798)","(882844, 381798)",,- Invalid -,23:59:59,1111111,,- Invalid -
ADELIA MESRA DUA ENTERPRISE,90034152,M808,147420,"LOT 49946 JALAN PERSIARAN KEWAJIPAN, ,",SUBANG JAYA,SEL,CENTR1,CENTRAL,alfuzi_hamid@petronas.com.my,122831308,54600,12/10/16 8:53,"(3.030084, 101.583841)",Default,ADELIA MESRA DUA ENTERPRISE,90034152,90034152,D001,47630,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(3.030084, 101.583841)",(Invalid),STARSPRD01_ImportServer,08/10/16 17:26,(Invalid),12/10/16 8:53,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(787215, 335261)","(787215, 335261)",,- Invalid -,23:59:00,1111111,,- Invalid -
AFFANDI HILL SIDE - CA0073613-H,90032991,M839,513240,"LOT 8207 MUKIM BENTONG, ,",BENTONG,PAH,EAST2,EAST,asree_asmoe@petronas.com.my,199309119,43680,11/10/16 11:18,"(3.443420, 101.893758)",Default,AFFANDI HILL SIDE - CA0073613-H,90032991,90032991,D001,28700,,,Invalid,0,M838,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(3.443420, 101.893758)",(Invalid),STARSPRD01_ImportServer,08/10/16 16:10,14/10/16 9:21,11/10/16 11:18,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(821562, 381094)","(821562, 381094)",,- Invalid -,23:59:00,1111111,,- Invalid -
AFFANDI ISHAK PETROLEUM,90035564,M839,92820,"STESEN PETRONAS BENTONG 1, LOT 97 MUKIM BENTONG,",BENTONG,PAH,EAST2,EAST,asree_asmoe@petronas.com.my,199309119,43680,13/10/16 12:11,"(3.489148, 101.940393)",Default,AFFANDI ISHAK PETROLEUM,90035564,90035564,D001,28700,,,Invalid,0,M838,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(3.489148, 101.940393)",(Invalid),STARSPRD01_ImportServer,05/10/16 12:09,(Invalid),13/10/16 12:11,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(826733, 386171)","(826733, 386171)",,- Invalid -,23:59:00,1111111,,- Invalid -
AGBA ENTERPRISE,90016058,M817,196560,"LOT PT 790 & 791, MUKIM CHANGKAT JONG,",LANGKAP,PER,NORTH2,NORTH,azmir_arffin@petronas.com.my,195633543,43680,12/10/16 10:56,"(4.068031, 101.146270)",Default,AGBA ENTERPRISE,90016058,90016058,D001,36700,,,Invalid,0,,- Invalid -,Retail_Delivery,6:30:00,,,,,,,FALSE,"(4.068031, 101.146270)",(Invalid),STARSPRD01_ImportServer,11/10/16 10:42,(Invalid),12/10/16 10:56,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:39,PEN,Malaysia,"(738284, 449964)","(738284, 449964)",,- Invalid -,23:30:00,1111111,,- Invalid -
AHA DAGANG ENTERPRISE,90018618,M808,38038,"LOT 4295 & 4310,, JLN RHU OFF JLN AMPANG,,",KUALA LUMPUR,PSK,CENTR2,CENTRAL,,193919383,32760,11/10/16 11:25,"(3.158964, 101.745112)",Default,AHA DAGANG ENTERPRISE,90018618,90018618,D001,68000,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,16:30:00,6:30:00,19:30:00,9:30:00,,,FALSE,"(3.158964, 101.745112)",(Invalid),STARSPRD01_ImportServer,02/10/16 7:52,14/10/16 15:38,11/10/16 11:25,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:39,PEN,Malaysia,"(805118, 349567)","(805118, 349567)",,- Invalid -,23:59:00,1111111,,- Invalid -
AHMAD SHAFIE,90017088,M818,54600,"LOT 522, MUKIM LIMBONG, JLN TITI HJ IDRIS,",ALOR SETAR,KED,NORTH1,NORTH,jaimurali.m@petronas.com.my,174318317,43680,13/10/16 1:37,"(6.129624, 100.438758)",Default,AHMAD SHAFIE,90017088,90017088,D001,6500,,,Invalid,0,,- Invalid -,Retail_Delivery,6:30:00,,,,,,,FALSE,"(6.129624, 100.438758)",(Invalid),STARSPRD01_ImportServer,10/10/16 18:58,(Invalid),13/10/16 1:37,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:39,PEN,Malaysia,"(659205, 677747)","(659205, 677747)",,- Invalid -,23:00:00,1111111,,- Invalid -
AHMAD SHAFIE,90009469,M818,147420,"LOT 2065 MUKIM AIR PUTIH, JALAN BESAR,",PENDANG,KED,NORTH1,NORTH,jaimurali.m@petronas.com.my,194003361,43680,13/10/16 18:24,"(5.993111, 100.476768)",Default,AHMAD SHAFIE,90009469,90009469,D001,6700,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(5.993111, 100.476768)",(Invalid),STARSPRD01_ImportServer,10/10/16 18:01,13/10/16 18:24,11/10/16 18:22,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:39,PEN,Malaysia,"(663453, 662663)","(663453, 662663)",,- Invalid -,23:59:00,1111111,,- Invalid -
AHSAN ENTERPRISE,90009650,M838,196560,"LOT 134 MUKIM PELAGAT, KAWASAN SEBERANG JERTEH,",JERTIH,TRE,EAST1,EAST,syafrulfaisyah@petronas.com.my,179600498,43680,11/10/16 14:21,"(5.740689, 102.485647)",Default,AHSAN ENTERPRISE,90009650,90009650,D001,22000,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(5.740689, 102.485647)",(Invalid),STARSPRD01_ImportServer,11/10/16 6:49,13/10/16 20:53,11/10/16 14:21,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:39,PEN,Malaysia,"(886168, 635716)","(886168, 635716)",,- Invalid -,23:59:00,1111111,,- Invalid -
AHSANA ENTERPRISE,90037477,M818,76440,"LOT 112, SEKSYEN 1, TANAH LIAT, ,",BUKIT MERTAJAM,PIN,NORTH1,NORTH,,194146866,43680,15/10/16 23:06,"(5.375491, 100.464277)",Default,AHSANA ENTERPRISE,90037477,90037477,D001,14000,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(5.375491, 100.464277)",(Invalid),STARSPRD01_ImportServer,10/10/16 18:56,15/10/16 23:06,14/10/16 19:30,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(662243, 594365)","(662243, 594365)",,- Invalid -,23:59:00,1111111,,- Invalid -
AIKHALMAN ENTERPRISE,90038491,M808,54600,"NO.1, PERSIARAN KAYANGAN, JALAN PLUMBUM P7/P,",SHAH ALAM,SEL,CENTR1,CENTRAL,faiz_zaki@petronas.com.my,196367579,43680,11/10/16 16:48,"(3.069377, 101.490656)",Default,AIKHALMAN ENTERPRISE,90038491,90038491,D001,40000,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(3.069377, 101.490656)",(Invalid),STARSPRD01_ImportServer,06/10/16 10:24,14/10/16 19:51,11/10/16 16:48,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(776840, 339584)","(776840, 339584)",,- Invalid -,23:59:00,1111111,,- Invalid -
AIMA EXCELLENT TRADING,90041208,M818,60060,"LOT NO.4606 GRN 127723, BANDAR DARUL AMAN,KUBANG PASU,",JITRA,KED,NORTH1,NORTH,ng_chanwai@petronas.com.my,124439988,43680,13/10/16 20:14,"(6.239782, 100.419012)",Default,AIMA EXCELLENT TRADING,90041208,90041208,D001,6000,,,Invalid,0,,- Invalid -,Retail_Delivery,6:00:00,,,,,,,FALSE,"(6.239782, 100.419012)",(Invalid),STARSPRD01_ImportServer,10/10/16 18:55,13/10/16 20:14,12/10/16 16:12,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(656987, 689922)","(656987, 689922)",,- Invalid -,23:59:00,1111111,,- Invalid -
AINISH QAISARA RESOURCES,90043776,M829,136500,"PLO 305, JALAN GANGSA, PASIR GUDANG,",JOHOR BAHRU,JOH,SOUTH2,SOUTH,saifullyz.dzulkifli@petronas.com.my,0167113181/0167115181,43680,12/10/16 1:10,"(1.454094, 103.917580)",Default,AINISH QAISARA RESOURCES,90043776,90043776,D001,81700,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(1.454094, 103.917580)",(Invalid),STARSPRD01_ImportServer,10/10/16 10:29,13/10/16 11:51,12/10/16 1:10,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,15/10/15 11:57,PEN,Malaysia,"(1047705, 161319)","(1047705, 161319)",,- Invalid -,23:59:00,1111111,,- Invalid -
AINISH SERVICES,90034501,M829,163800,"PTD 127744, JLN KEMPAS LAMA, ,",JOHOR BAHRU,JOH,SOUTH2,SOUTH,,167113181,43680,14/10/16 16:10,"(1.544139, 103.697553)",Default,AINISH SERVICES,90034501,90034501,D001,81200,,,Invalid,0,,- Invalid -,Retail_Delivery,6:00:00,,,,,,,FALSE,"(1.544139, 103.697553)",(Invalid),STARSPRD01_ImportServer,10/10/16 18:51,(Invalid),14/10/16 16:10,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(1023121, 171253)","(1023121, 171253)",,- Invalid -,23:59:00,1111111,,- Invalid -
AIRAZ WARISAN,90042165,M828,60060,"LOT PT 189, H.S.(D) 66194, LRG PAN, MUKIM KLEBANG, SEKSYEN 4, DAERAH MELAKA TENGAH",MELAKA,MEL,SOUTH1,SOUTH,,122552735,43680,14/10/16 9:13,"(2.210153, 102.227938)",Default,AIRAZ WARISAN,90042165,90042165,D001,75200,,,Invalid,0,,- Invalid -,Retail_Delivery,6:00:00,,,,,,,FALSE,"(2.210153, 102.227938)",(Invalid),STARSPRD01_ImportServer,11/10/16 10:56,(Invalid),14/10/16 9:13,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,09/12/14 21:53,PEN,Malaysia,"(859114, 244680)","(859114, 244680)",,- Invalid -,23:59:00,1111111,,- Invalid -
AIRIYA JAYA,90018578,M808,50096,"STESEN SERVIS PETRONAS, LOT PT 1442 HSC(M), MUKIM DENGKIL PERCINT 9",PUTRA JAYA,SEL,CENTR3,CENTRAL,zamrul_ali@petronas.com.my,193205990,54600,13/10/16 8:34,"(2.936222, 101.673314)",Default,AIRIYA JAYA,90018578,90018578,D001,43900,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,16:30:00,6:30:00,19:30:00,9:30:00,,,FALSE,"(2.936222, 101.673314)",(Invalid),STARSPRD01_ImportServer,09/10/16 9:04,13/10/16 8:34,12/10/16 5:32,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:39,PEN,Malaysia,"(797193, 324899)","(797193, 324899)",,- Invalid -,23:59:00,1111111,,- Invalid -
AJAZ HAJAH ENERGY,90040044,M828,114660,"LOT 1503 PM 3851, MKM BKT KATIL, DAERAH MELAKA TENGAH,",MITC,MEL,SOUTH1,SOUTH,mnajib.suki@petronas.com.my,126223894,43680,13/10/16 3:38,"(2.273738, 102.286209)",Default,AJAZ HAJAH ENERGY,90040044,90040044,D001,75450,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(2.273738, 102.286209)",(Invalid),STARSPRD01_ImportServer,11/10/16 9:08,13/10/16 3:38,11/10/16 21:11,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(865588, 251734)","(865588, 251734)",,- Invalid -,23:59:59,1111111,,- Invalid -
AKID MAJU SERVICES,90033240,M828,81900,"LOT 33866 PT 2244 LAVENDER HEIGHTS, ,",SEREMBAN,SER,SOUTH1,SOUTH,,193387307,54600,14/10/16 2:14,"(2.715652, 102.001839)",Default,AKID MAJU SERVICES,90033240,90033240,D001,70450,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(2.715652, 102.001839)",(Invalid),STARSPRD01_ImportServer,11/10/16 9:57,(Invalid),14/10/16 2:14,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:39,PEN,Malaysia,"(833810, 300578)","(833810, 300578)",,- Invalid -,23:59:00,1111111,,- Invalid -
