Historical Sales,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Customer,Id,Region,Diesel Quota,,Tanks,Product,,04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016
,STN PETRONAS FTSB LU03,80001450,EAST2,21840,,80001450-1,PRIMAX 95,Sales,,788,,,,,
,,,,,,,,Stock,,,12276,,,,
,,,,,,80001450-2,BIODIESEL B7 (RETAIL),Sales,,1954,,,,,
,,,,,,,,Stock,,,6710,,,,
,,,,,,,,,,,,,,,
,STN PETRONAS KECHAU 01,80003228,EAST2,98280,,80003228-4,PRIMAX 95,Sales,1058,1058,1136,1143,,1056,1233
,,,,,,,,Stock,14252,14252,13331,10032,6112,,
,,,,,,80003228-1,BIODIESEL B7 (RETAIL),Sales,3918,4621,5422,3171,,3826,5747
,,,,,,,,Stock,24692,21017,16106,16399,12862,,
,,,,,,80003228-3,PRIMAX 95,Sales,1058,1058,1135,1144,,1055,1233
,,,,,,,,Stock,1368,1368,1368,12784,12784,,
,,,,,,80003228-2,PRIMAX 95,Sales,1058,1058,1135,1144,,1055,1234
,,,,,,,,Stock,6918,3573,1319,12705,12705,,
,,,,,,,,,,,,,,,
,STN PETRONAS FTSB LU02,80003234,EAST2,32760,,80003234-2,PRIMAX 95,Sales,,1751,2178,2283,2964,1899,
,,,,,,,,Stock,6126,,19563,11598,8428,6146,
,,,,,,80003234-1,BIODIESEL B7 (RETAIL),Sales,,1325,1285,819,2167,1332,
,,,,,,,,Stock,11816,,13120,18169,17883,15314,
,,,,,,,,,,,,,,,
,FELDA TRADING SDN BHD,80004633,SOUTH1,43680,,80004633-1,PRIMAX 95,Sales,2246,2260,2515,2431,2466,2523,2385
,,,,,,,,Stock,17592,15472,13071,21601,18872,16489,
,,,,,,80004633-2,BIODIESEL B7 (RETAIL),Sales,1890,1534,1597,1138,1056,1038,1431
,,,,,,,,Stock,10257,8506,6735,10961,9407,8506,
,,,,,,,,,,,,,,,
,FELDA TRADING SDN BHD,80006725,SOUTH1,54600,,80006725-1,PRIMAX 95,Sales,819,733,1182,1082,1080,1373,3743
,,,,,,,,Stock,1909,1810,13118,18340,18340,18340,
,,,,,,80006725-2,PRIMAX 95,Sales,818,734,1181,1082,1080,1372,3743
,,,,,,,,Stock,13432,11053,9305,5592,5592,5592,
,,,,,,80006725-4,BIODIESEL B7 (RETAIL),Sales,1646,1134,2240,1563,1576,1652,1815
,,,,,,,,Stock,12759,11126,9232,12386,10743,9146,
,,,,,,80006725-3,PRIMAX 95,Sales,818,733,1182,1081,1079,1372,3743
,,,,,,,,Stock,3737,3735,8946,8946,6905,2408,
,,,,,,,,,,,,,,,
,STN PETRONAS TERSANG 3,80009705,EAST2,49140,,80009705-2,PRIMAX 95,Sales,3393,4253,2897,3560,4016,,3078
,,,,,,,,Stock,12611,9242,15905,12922,9327,5569,
,,,,,,80009705-1,BIODIESEL B7 (RETAIL),Sales,1823,1226,1745,1332,1880,,1391
,,,,,,,,Stock,12433,10699,9470,7848,6487,4810,
,,,,,,,,,,,,,,,
,SRI JAWI,90000039,NORTH2,103740,,90000039-1,PRIMAX 97,Sales,497,401,741,584,817,752,554
,,,,,,,,Stock,11361,10759,10460,9865,9276,13798,
,,,,,,90000039-2,PRIMAX 95,Sales,4967,4985,5008,5383,5288,4995,4949
,,,,,,,,Stock,2955,22964,13188,16251,15945,18857,
,,,,,,90000039-4,BIODIESEL B7 (RETAIL),Sales,3195,3135,2886,2502,2836,1316,3651
,,,,,,,,Stock,18669,21013,17768,15022,12269,15329,
,,,,,,90000039-3,PRIMAX 95,Sales,4967,4986,5009,5384,5288,4994,4950
,,,,,,,,Stock,17464,14715,14408,26615,18369,26619,
,,,,,,,,,,,,,,,
,P.Y. HABSAH ENTERPRISE,90000184,NORTH2,32760,,90000184-1,PRIMAX 95,Sales,2547,2452,2518,2543,3017,3002,2489
,,,,,,,,Stock,18254,18267,23728,23594,16237,17956,
,,,,,,90000184-2,PRIMAX 95,Sales,2546,2452,2518,2543,3018,3002,2490
,,,,,,,,Stock,22192,14712,25435,18025,17969,23287,
,,,,,,90000184-3,PRIMAX 95,Sales,2547,2452,2518,2544,3018,3001,2489
,,,,,,,,Stock,16055,16055,14112,14126,14098,24724,
,,,,,,90000184-4,BIODIESEL B7 (RETAIL),Sales,1195,1338,1630,872,1406,629,1539
,,,,,,,,Stock,12308,11125,9889,8231,7309,5875,
,,,,,,,,,,,,,,,
,SPASDA SERVICE STATION,90000195,NORTH1,49140,,90000195-2,PRIMAX 97,Sales,599,445,587,392,705,558,548
,,,,,,,,Stock,7849,7167,6766,6242,5731,10714,
,,,,,,90000195-3,PRIMAX 95,Sales,3898,3845,3798,3665,4036,3031,3745
,,,,,,,,Stock,15988,8003,3765,14920,7485,23654,
,,,,,,90000195-1,BIODIESEL B7 (RETAIL),Sales,1509,1426,1431,976,1328,366,882
,,,,,,,,Stock,10862,9257,7849,17398,16481,14948,
,,,,,,90000195-4,PRIMAX 95,Sales,3897,3844,3797,3665,4036,3032,3745
,,,,,,,,Stock,22644,22644,19203,11626,22498,14464,
,,,,,,,,,,,,,,,
,PSS NINA,90000198,NORTH2,65520,,90000198-1,PRIMAX 95,Sales,3402,3201,3225,3601,3616,3283,3433
,,,,,,,,Stock,25378,25378,25378,20596,10630,16124,
,,,,,,90000198-3,PRIMAX 95,Sales,3402,3200,3225,3600,3616,3284,3434
,,,,,,,,Stock,24313,14386,4972,24534,24534,19236,
,,,,,,90000198-4,BIODIESEL B7 (RETAIL),Sales,2257,2470,2133,3380,1332,1287,2742
,,,,,,,,Stock,23028,21061,18611,16555,13226,17270,
,,,,,,90000198-2,PRIMAX 95,Sales,3403,3201,3225,3601,3616,3283,3434
,,,,,,,,Stock,14096,14096,14096,20994,20994,20994,
,,,,,,,,,,,,,,,
,PSS TUNAS LARUT ENTERPRISE,90000214,NORTH2,87360,,90000214-1,PRIMAX 97,Sales,856,503,611,804,1005,1103,785
,,,,,,,,Stock,13585,12965,12358,11565,10085,14555,
,,,,,,90000214-5,BIODIESEL B7 (RETAIL),Sales,6585,5898,5955,5485,5007,4865,6589
,,,,,,,,Stock,8007,11255,15188,18265,12008,13885,
,,,,,,90000214-3,PRIMAX 95,Sales,5630,4709,5528,5319,6269,6662,5953
,,,,,,,,Stock,4268,20555,21558,21505,10004,11252,
,,,,,,90000214-2,PRIMAX 95,Sales,5629,4709,5528,5319,6269,6662,5952
,,,,,,,,Stock,20658,11958,20582,15698,10958,10558,
,,,,,,90000214-4,PRIMAX 95,Sales,5629,4710,5529,5320,6270,6661,5953
,,,,,,,,Stock,19888,15588,23858,25488,21088,23528,
,,,,,,,,,,,,,,,
,SYARIKAT PERNIAGAAN IKHWAN,90000220,NORTH2,49140,,90000220-3,PRIMAX 95,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90000220-1,BIODIESEL B7 (RETAIL),Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90000220-2,PRIMAX 97,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90000220-4,PRIMAX 95,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,,,,,,,,,,
,LUBITRADE SDN BHD,90000226,NORTH1,43680,,90000226-1,PRIMAX 95,Sales,3222,2976,3364,3303,3331,3337,3109
,,,,,,,,Stock,22066,22066,22066,22066,24743,16634,
,,,,,,90000226-4,BIODIESEL B7 (RETAIL),Sales,2387,3230,3991,1580,2360,2381,2905
,,,,,,,,Stock,10921,19488,16290,12290,21665,19274,
,,,,,,90000226-2,PRIMAX 95,Sales,3222,2976,3364,3303,3332,3337,3109
,,,,,,,,Stock,10525,19277,11793,3653,25782,25782,
,,,,,,90000226-3,PRIMAX 95,Sales,3223,2977,3364,3304,3332,3337,3109
,,,,,,,,Stock,17791,21171,19625,17638,15635,13685,
,,,,,,,,,,,,,,,
,PMS MZH ENTERPRISE,90000240,NORTH1,76440,,90000240-2,PRIMAX 95,Sales,4895,3831,3882,4169,5239,4119,4355
,,,,,,,,Stock,,20986,622,24799,24799,9256,
,,,,,,90000240-4,PRIMAX 95,Sales,4896,3832,3882,4169,5238,4118,4354
,,,,,,,,Stock,,20986,25187,21617,15038,14881,
,,,,,,90000240-1,BIODIESEL B7 (RETAIL),Sales,2264,2664,1364,1785,2873,1295,1588
,,,,,,,,Stock,,23544,20924,19610,17850,15148,
,,,,,,90000240-3,PRIMAX 95,Sales,4895,3831,3882,4169,5239,4119,4355
,,,,,,,,Stock,,20986,25017,25017,19505,19506,
,,,,,,,,,,,,,,,
,NOMAZ PETRO SERVIS ENTERPRISE,90000242,NORTH2,54600,,90000242-1,PRIMAX 95,Sales,4058,4032,3989,3614,4678,4035,3866
,,,,,,,,Stock,24610,18918,16782,12528,23425,23129,
