"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,136,"MYS","Malaysia",1,"Johor",1,"Batu Pahat","MY.JH.BP",NA,"","Daerah","District","",""
2,136,"MYS","Malaysia",1,"Johor",2,"Johor Baharu","MY.JH.JH",NA,"","Daerah","District","","Johor Bahru"
3,136,"MYS","Malaysia",1,"Johor",3,"Keluang","MY.JH.KE",NA,"","Daerah","District","","Kluang"
4,136,"MYS","Malaysia",1,"Johor",4,"Kota Tinggi","MY.JH.KT",NA,"","Daerah","District","",""
5,136,"MYS","Malaysia",1,"Johor",5,"Kulaijaya","MY.JH.KU",NA,"","Daerah","District","","<Null>"
6,136,"MYS","Malaysia",1,"Johor",6,"Ledang","MY.JH.LD",NA,"","Daerah","District","",""
7,136,"MYS","Malaysia",1,"Johor",7,"Mersing","MY.JH.ME",NA,"","Daerah","District","",""
8,136,"MYS","Malaysia",1,"Johor",8,"Muar","MY.JH.MR",NA,"","Daerah","District","",""
9,136,"MYS","Malaysia",1,"Johor",9,"Pontian","MY.JH.PO",NA,"","Daerah","District","",""
10,136,"MYS","Malaysia",1,"Johor",10,"Segamat","MY.JH.SE",NA,"","Daerah","District","",""
11,136,"MYS","Malaysia",2,"Kedah",11,"Baling","MY.KH.BA",NA,"","Daerah","District","",""
12,136,"MYS","Malaysia",2,"Kedah",12,"Bandar Baharu","MY.KH.BB",NA,"","Daerah","District","",""
13,136,"MYS","Malaysia",2,"Kedah",13,"Kota Setar","MY.KH.KT",NA,"","Daerah","District","",""
14,136,"MYS","Malaysia",2,"Kedah",14,"Kuala Muda","MY.KH.KM",NA,"","Daerah","District","",""
15,136,"MYS","Malaysia",2,"Kedah",15,"Kubang Pasu","MY.KH.KP",NA,"","Daerah","District","",""
16,136,"MYS","Malaysia",2,"Kedah",16,"Kulim","MY.KH.KU",NA,"","Daerah","District","",""
17,136,"MYS","Malaysia",2,"Kedah",17,"Langkawi","MY.KH.LA",NA,"","Daerah","District","",""
18,136,"MYS","Malaysia",2,"Kedah",18,"Padang Terap","MY.KH.PT",NA,"","Daerah","District","",""
19,136,"MYS","Malaysia",2,"Kedah",19,"Pendang","MY.KH.PE",NA,"","Daerah","District","",""
20,136,"MYS","Malaysia",2,"Kedah",20,"Pokok Sena","MY.KH.PS",NA,"","Daerah","District","",""
21,136,"MYS","Malaysia",2,"Kedah",21,"Sik","MY.KH.SI",NA,"","Daerah","District","",""
22,136,"MYS","Malaysia",2,"Kedah",22,"Yan","MY.KH.YA",NA,"","Daerah","District","",""
23,136,"MYS","Malaysia",3,"Kelantan",23,"Bachok","MY.KN.BA",NA,"","Daerah","District","","Bachor"
24,136,"MYS","Malaysia",3,"Kelantan",24,"Gua Musang","MY.KN.GM",NA,"","Daerah","District","",""
25,136,"MYS","Malaysia",3,"Kelantan",25,"Jeli","MY.KN.JE",NA,"","Daerah","District","<Null>",""
26,136,"MYS","Malaysia",3,"Kelantan",26,"Kota Bharu","MY.KN.KB",NA,"","Daerah","District","",""
27,136,"MYS","Malaysia",3,"Kelantan",27,"Kuala Krai","MY.KN.KK",NA,"","Daerah","District","",""
28,136,"MYS","Malaysia",3,"Kelantan",28,"Machang","MY.KN.MA",NA,"","Daerah","District","",""
29,136,"MYS","Malaysia",3,"Kelantan",29,"Pasir Mas","MY.KN.PM",NA,"","Daerah","District","",""
30,136,"MYS","Malaysia",3,"Kelantan",30,"Pasir Putih","MY.KN.PP",NA,"","Daerah","District","","Pasir Puteh"
31,136,"MYS","Malaysia",3,"Kelantan",31,"Tanah Merah","MY.KN.TM",NA,"","Daerah","District","",""
