Textbox78,Textbox20,Textbox24,Textbox28,Textbox32,Textbox36,Textbox8,Id,Id1,Textbox2,Textbox95,TfpId,Textbox5,Textbox79,Textbox21,Textbox25,Textbox29,Textbox33,Textbox37,Textbox9,Textbox67,Textbox68,Textbox69,Textbox70,Textbox73,Textbox76,Textbox82
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,STN PETRONAS FTSB LU03,80001450,EAST2,16380,80001450-2,BIODIESEL B7 (RETAIL),,,,1101,,3709,2918,,,,,15057,,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,STN PETRONAS FTSB LU03,80001450,EAST2,16380,80001450-1,PRIMAX 95,,,,1261,,2427,1816,,,,,15812,,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,STN PETRONAS KECHAU 01,80003228,EAST2,87360,80003228-1,BIODIESEL B7 (RETAIL),,3826,5747,7739,8981,5318,4422,12862,,14690,19970,12076,14252,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,STN PETRONAS KECHAU 01,80003228,EAST2,87360,80003228-3,PRIMAX 95,,1055,1233,1344,1316,1285,1282,12784,,10106,5913,1645,1229,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,STN PETRONAS KECHAU 01,80003228,EAST2,87360,80003228-4,PRIMAX 95,,1056,1233,1344,1315,1285,1282,6112,,1319,12784,12862,12705,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,STN PETRONAS KECHAU 01,80003228,EAST2,87360,80003228-2,PRIMAX 95,,1055,1234,1344,1315,1286,1283,12705,,12784,12862,12784,8937,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,STN PETRONAS FTSB LU02,80003234,EAST2,32760,80003234-1,BIODIESEL B7 (RETAIL),2167,1332,,1312,,3270,2515,17883,15314,15197,,11950,,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,STN PETRONAS FTSB LU02,80003234,EAST2,32760,80003234-2,PRIMAX 95,2964,1899,,2058,,3372,2916,8428,6146,4792,,17274,,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,FELDA TRADING SDN BHD,80004633,SOUTH1,32760,80004633-1,PRIMAX 95,2466,2523,2385,2217,2128,2142,2105,18872,16489,13794,11569,20107,17837,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,FELDA TRADING SDN BHD,80004633,SOUTH1,32760,80004633-2,BIODIESEL B7 (RETAIL),1056,1038,1431,2978,1307,1790,1363,9407,8506,7287,6126,8433,7175,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,FELDA TRADING SDN BHD,80006725,SOUTH1,49140,80006725-3,PRIMAX 95,1079,1372,3743,956,801,888,1103,6905,2408,2408,7731,4951,4951,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,FELDA TRADING SDN BHD,80006725,SOUTH1,49140,80006725-1,PRIMAX 95,1080,1373,3743,956,802,888,1103,18340,18340,14179,10596,10596,8206,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,FELDA TRADING SDN BHD,80006725,SOUTH1,49140,80006725-2,PRIMAX 95,1080,1372,3743,955,801,888,1103,5592,5592,5592,5489,5489,5489,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,FELDA TRADING SDN BHD,80006725,SOUTH1,49140,80006725-4,BIODIESEL B7 (RETAIL),1576,1652,1815,1793,1811,1344,1835,10743,9146,7468,11229,9304,7579,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,STN PETRONAS TERSANG 3,80009705,EAST2,43680,80009705-1,BIODIESEL B7 (RETAIL),1880,,1391,1410,1546,1328,848,6487,4810,,7434,6051,9945,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,STN PETRONAS TERSANG 3,80009705,EAST2,43680,80009705-2,PRIMAX 95,4016,,3078,3069,3262,3155,3381,9327,5569,,15135,11828,19358,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,SRI JAWI,90000039,NORTH2,81900,90000039-1,PRIMAX 97,817,752,554,470,354,412,649,9276,13798,13186,12575,12270,11663,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,SRI JAWI,90000039,NORTH2,81900,90000039-2,PRIMAX 95,5288,4995,4949,4601,4934,4672,5557,15945,18857,21301,21865,12882,12882,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,SRI JAWI,90000039,NORTH2,81900,90000039-4,BIODIESEL B7 (RETAIL),2836,1316,3651,4225,2621,2904,2159,12269,15329,13490,21013,16858,14103,
