Textbox78,Textbox20,Textbox24,Textbox28,Textbox32,Textbox36,Textbox8,Id,Id1,Textbox2,Textbox95,TfpId,Textbox5,Textbox79,Textbox21,Textbox25,Textbox29,Textbox33,Textbox37,Textbox9,Textbox67,Textbox68,Textbox69,Textbox70,Textbox73,Textbox76,Textbox82
23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,STN PETRONAS FTSB LU03,80001450,EAST2,16380,80001450-1,PRIMAX 95,752,1105,1238,,,1053,,21232,20404,19843,17854,,,
23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,STN PETRONAS FTSB LU03,80001450,EAST2,16380,80001450-2,BIODIESEL B7 (RETAIL),1388,1173,1410,,,597,,24092,22822,21779,20718,,,
23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,STN PETRONAS KECHAU 01,80003228,EAST2,81900,80003228-1,BIODIESEL B7 (RETAIL),,,,4253,5291,1405,6310,,,,,5375,9521,
23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,STN PETRONAS KECHAU 01,80003228,EAST2,81900,80003228-3,PRIMAX 95,,,,1058,1137,982,1116,,,,,1368,18180,
23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,STN PETRONAS KECHAU 01,80003228,EAST2,81900,80003228-2,PRIMAX 95,,,,1058,1137,982,1116,,,,,1368,6918,
23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,STN PETRONAS KECHAU 01,80003228,EAST2,81900,80003228-4,PRIMAX 95,,,,1058,1137,982,1116,,,,,3868,1319,
23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,STN PETRONAS FTSB LU02,80003234,EAST2,32760,80003234-2,PRIMAX 95,15674,2399,2349,2341,2466,2210,,2060,1792,13120,11157,9658,5829,
23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,STN PETRONAS FTSB LU02,80003234,EAST2,32760,80003234-1,BIODIESEL B7 (RETAIL),24193,1791,2535,753,967,952,,1060,792,22497,19974,17532,18437,
23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,FELDA TRADING SDN BHD,80004633,SOUTH1,27300,80004633-1,PRIMAX 95,2429,2612,2480,2280,2832,2983,2498,9698,27000,24629,22145,19972,17374,
23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,FELDA TRADING SDN BHD,80004633,SOUTH1,27300,80004633-2,BIODIESEL B7 (RETAIL),1433,1377,1951,601,684,670,1339,16257,14965,13363,11608,10961,10101,
23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,FELDA TRADING SDN BHD,80006725,SOUTH1,43680,80006725-1,PRIMAX 95,1095,948,1041,1091,2044,1511,1073,12460,9317,6313,3274,3251,3240,
23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,FELDA TRADING SDN BHD,80006725,SOUTH1,43680,80006725-2,PRIMAX 95,1095,947,1042,1090,2044,1510,1073,4273,5958,5879,5971,5853,5840,
23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,FELDA TRADING SDN BHD,80006725,SOUTH1,43680,80006725-4,BIODIESEL B7 (RETAIL),1399,2779,1766,1486,2173,1339,2325,8082,6676,14704,12983,11495,9708,
23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,FELDA TRADING SDN BHD,80006725,SOUTH1,43680,80006725-3,PRIMAX 95,1096,948,1042,1091,2043,1510,1072,2254,2255,18573,18355,15048,9159,
