Textbox78,Textbox20,Textbox24,Textbox28,Textbox32,Textbox36,Textbox8,Id,Id1,Textbox2,Textbox95,TfpId,Textbox5,Textbox79,Textbox21,Textbox25,Textbox29,Textbox33,Textbox37,Textbox9,Textbox67,Textbox68,Textbox69,Textbox70,Textbox73,Textbox76,Textbox82
25/01/2016,26/01/2016,27/01/2016,28/01/2016,29/01/2016,30/01/2016,31/01/2016,STN PETRONAS FTSB LU03,80001450,EAST2,16380,80001450-1,PRIMAX 95,1217,1063,1236,12119,,,8729,16984,15504,14284,13057,1137,,
25/01/2016,26/01/2016,27/01/2016,28/01/2016,29/01/2016,30/01/2016,31/01/2016,STN PETRONAS FTSB LU03,80001450,EAST2,16380,80001450-2,BIODIESEL B7 (RETAIL),1120,1284,991,12272,,,8951,16813,15355,14134,13198,976,,
25/01/2016,26/01/2016,27/01/2016,28/01/2016,29/01/2016,30/01/2016,31/01/2016,STN PETRONAS KECHAU 01,80003228,EAST2,81900,80003228-4,PRIMAX 95,1721,1228,1464,1345,824,1031,933,4609,1319,7053,18180,18180,18108,
25/01/2016,26/01/2016,27/01/2016,28/01/2016,29/01/2016,30/01/2016,31/01/2016,STN PETRONAS KECHAU 01,80003228,EAST2,81900,80003228-2,PRIMAX 95,1720,1228,1464,1345,825,1030,932,1181,11700,7845,3573,3632,8645,
25/01/2016,26/01/2016,27/01/2016,28/01/2016,29/01/2016,30/01/2016,31/01/2016,STN PETRONAS KECHAU 01,80003228,EAST2,81900,80003228-1,BIODIESEL B7 (RETAIL),5846,4142,4390,4928,3320,3506,2284,11249,16326,17816,18770,13796,21997,
25/01/2016,26/01/2016,27/01/2016,28/01/2016,29/01/2016,30/01/2016,31/01/2016,STN PETRONAS KECHAU 01,80003228,EAST2,81900,80003228-3,PRIMAX 95,1720,1229,1464,1344,825,1030,932,3972,1425,14252,13951,9448,6717,
25/01/2016,26/01/2016,27/01/2016,28/01/2016,29/01/2016,30/01/2016,31/01/2016,STN PETRONAS FTSB LU02,80003234,EAST2,32760,80003234-2,PRIMAX 95,2403,2208,1906,2481,,1824,2143,9634,6750,16114,13746,11304,,
25/01/2016,26/01/2016,27/01/2016,28/01/2016,29/01/2016,30/01/2016,31/01/2016,STN PETRONAS FTSB LU02,80003234,EAST2,32760,80003234-1,BIODIESEL B7 (RETAIL),1822,1562,1207,2551,,1373,536,4335,2321,12411,10591,7966,,
25/01/2016,26/01/2016,27/01/2016,28/01/2016,29/01/2016,30/01/2016,31/01/2016,FELDA TRADING SDN BHD,80004633,SOUTH1,27300,80004633-1,PRIMAX 95,2632,,2275,2554,2510,2789,,18167,15349,,20641,18308,15672,
25/01/2016,26/01/2016,27/01/2016,28/01/2016,29/01/2016,30/01/2016,31/01/2016,FELDA TRADING SDN BHD,80004633,SOUTH1,27300,80004633-2,BIODIESEL B7 (RETAIL),581,,1276,723,531,495,,10492,9961,,18421,17780,17432,
25/01/2016,26/01/2016,27/01/2016,28/01/2016,29/01/2016,30/01/2016,31/01/2016,FELDA TRADING SDN BHD,80006725,SOUTH1,43680,80006725-1,PRIMAX 95,1142,890,931,1161,935,1484,1122,8136,4502,2831,2831,2820,18922,
