STATE,Date,Home Value,Structure Cost,Land Value,Land Share (Pct),Home Price Index,Land Price Index
AL,1975Q1,24784.08,23544.88,1239.20,5.0%,0.222,0.000
AL,1975Q2,25101.64,23846.56,1255.08,5.0%,0.225,0.000
AL,1975Q3,25472.21,24198.60,1273.61,5.0%,0.228,0.000
AL,1975Q4,25903.27,24608.11,1295.16,5.0%,0.232,0.000
AL,1976Q1,26447.31,25124.95,1322.37,5.0%,0.237,0.000
AL,1976Q2,27058.91,25695.52,1363.38,5.0%,0.242,0.000
AL,1976Q3,27747.72,26134.95,1612.77,5.8%,0.248,0.000
AL,1976Q4,28531.95,26653.64,1878.31,6.6%,0.255,0.000
AL,1977Q1,29394.22,27217.21,2177.01,7.4%,0.263,0.000
AL,1977Q2,30305.91,27803.96,2501.95,8.3%,0.271,0.000
AL,1977Q3,31232.04,28387.94,2844.10,9.1%,0.280,0.000
AL,1977Q4,32123.79,28944.88,3178.91,9.9%,0.288,0.000
AL,1978Q1,33016.09,29468.28,3547.82,10.7%,0.296,0.000
AL,1978Q2,33972.51,29977.91,3994.60,11.8%,0.304,0.000
AL,1978Q3,34999.99,30524.36,4475.63,12.8%,0.313,0.000
AL,1978Q4,35986.01,31151.76,4834.25,13.4%,0.322,0.000
AL,1979Q1,36896.92,31886.16,5010.76,13.6%,0.330,0.000
AL,1979Q2,37707.51,32707.19,5000.32,13.3%,0.338,0.000
AL,1979Q3,38429.98,33567.79,4862.19,12.7%,0.344,0.000
AL,1979Q4,39064.25,34424.56,4639.69,11.9%,0.350,0.000
AL,1980Q1,39592.62,35238.99,4353.63,11.0%,0.354,0.000
AL,1980Q2,40192.66,36005.79,4186.87,10.4%,0.360,0.000
AL,1980Q3,40851.71,36720.35,4131.36,10.1%,0.366,0.000
AL,1980Q4,41428.17,37379.43,4048.74,9.8%,0.371,0.000
AL,1981Q1,41923.34,37990.02,3933.32,9.4%,0.375,0.000
AL,1981Q2,42377.53,38577.41,3800.12,9.0%,0.379,0.000
AL,1981Q3,42750.67,39184.33,3566.34,8.3%,0.383,0.000
AL,1981Q4,43025.04,39850.56,3174.48,7.4%,0.385,0.000
AL,1982Q1,43326.56,40598.34,2728.21,6.3%,0.388,0.000
AL,1982Q2,43738.24,41371.81,2366.43,5.4%,0.392,0.000
AL,1982Q3,44314.28,42098.56,2215.71,5.0%,0.397,0.000
AL,1982Q4,45054.61,42801.88,2252.73,5.0%,0.403,0.000
AL,1983Q1,45820.67,43529.64,2291.03,5.0%,0.410,0.000
AL,1983Q2,46584.50,44255.28,2329.23,5.0%,0.417,0.000
AL,1983Q3,47367.18,44998.82,2368.36,5.0%,0.424,0.000
AL,1983Q4,48162.21,45754.10,2408.11,5.0%,0.431,0.000
AL,1984Q1,48991.91,46542.32,2449.60,5.0%,0.439,0.000
AL,1984Q2,49735.51,47248.73,2486.78,5.0%,0.445,0.001
AL,1984Q3,50417.43,47896.56,2520.87,5.0%,0.451,0.001
AL,1984Q4,51031.60,48480.02,2551.58,5.0%,0.457,0.001
AL,1985Q1,51697.03,49112.18,2584.85,5.0%,0.463,0.001
AL,1985Q2,52485.04,49860.79,2624.25,5.0%,0.470,0.001
AL,1985Q3,53375.31,50706.55,2668.77,5.0%,0.478,0.001
AL,1985Q4,54327.76,51611.37,2716.39,5.0%,0.486,0.001
AL,1986Q1,55337.34,52570.47,2766.87,5.0%,0.495,0.002
AL,1986Q2,56396.09,53576.28,2819.80,5.0%,0.505,0.002
AL,1986Q3,57465.14,54591.88,2873.26,5.0%,0.514,0.003
AL,1986Q4,58499.59,55574.61,2924.98,5.0%,0.524,0.004
AL,1987Q1,59450.29,56477.77,2972.51,5.0%,0.532,0.005
AL,1987Q2,60285.50,57271.22,3014.27,5.0%,0.540,0.006
AL,1987Q3,61009.58,57959.11,3050.48,5.0%,0.546,0.006
AL,1987Q4,61662.34,58579.23,3083.12,5.0%,0.552,0.007
AL,1988Q1,62297.45,59182.58,3114.87,5.0%,0.558,0.008
AL,1988Q2,62862.55,59719.42,3143.13,5.0%,0.563,0.009
AL,1988Q3,63354.59,60186.86,3167.73,5.0%,0.567,0.009
AL,1988Q4,63831.36,60639.79,3191.57,5.0%,0.571,0.010
AL,1989Q1,64371.49,61152.92,3218.57,5.0%,0.576,0.010
AL,1989Q2,64998.89,61748.94,3249.94,5.0%,0.582,0.011
AL,1989Q3,65674.94,62391.19,3283.75,5.0%,0.588,0.012
AL,1989Q4,66332.68,63016.05,3316.63,5.0%,0.594,0.014
AL,1990Q1,66950.19,63602.68,3347.51,5.0%,0.599,0.015
AL,1990Q2,67566.27,64187.96,3378.31,5.0%,0.605,0.017
AL,1990Q3,68127.39,64721.02,3406.37,5.0%,0.610,0.019
AL,1990Q4,68740.01,65303.01,3437.00,5.0%,0.615,0.021
AL,1991Q1,69439.54,65967.57,3471.98,5.0%,0.622,0.023
AL,1991Q2,70225.74,66714.45,3511.29,5.0%,0.629,0.027
AL,1991Q3,71080.67,67526.64,3554.03,5.0%,0.636,0.031
AL,1991Q4,71999.53,68399.55,3599.98,5.0%,0.645,0.037
AL,1992Q1,72983.99,69334.79,3649.20,5.0%,0.653,0.045
AL,1992Q2,74026.68,70325.35,3701.33,5.0%,0.663,0.055
AL,1992Q3,75150.89,71393.35,3757.54,5.0%,0.673,0.068
AL,1992Q4,76325.81,72509.52,3816.29,5.0%,0.683,0.083
AL,1993Q1,77519.92,73643.92,3876.00,5.0%,0.694,0.100
AL,1993Q2,78729.03,74792.58,3936.45,5.0%,0.705,0.117
AL,1993Q3,79962.74,75964.60,3998.14,5.0%,0.716,0.137
AL,1993Q4,81198.91,77138.96,4059.95,5.0%,0.727,0.162
AL,1994Q1,82415.68,78294.89,4120.78,5.0%,0.738,0.193
AL,1994Q2,83592.10,79235.62,4356.48,5.2%,0.748,0.230
AL,1994Q3,84708.56,79654.85,5053.71,6.0%,0.758,0.267
AL,1994Q4,85789.31,80168.12,5621.19,6.6%,0.768,0.297
AL,1995Q1,86858.87,80825.60,6033.28,6.9%,0.778,0.320
AL,1995Q2,87945.16,81578.12,6367.04,7.2%,0.787,0.338
AL,1995Q3,89070.46,82367.57,6702.89,7.5%,0.797,0.356
AL,1995Q4,90221.94,83132.36,7089.58,7.9%,0.808,0.377
AL,1996Q1,91395.55,83815.24,7580.31,8.3%,0.818,0.403
AL,1996Q2,92568.82,84411.88,8156.93,8.8%,0.829,0.434
AL,1996Q3,93706.74,84910.76,8795.98,9.4%,0.839,0.468
AL,1996Q4,94808.38,85305.11,9503.27,10.0%,0.849,0.507
