"","Station ID","Station_Name","Station_Region","Diesel_Quota","Tank_ID","Product_Name","04/10/2016_sales","04/10/2016_stock","05/10/2016_sales","05/10/2016_stock","06/10/2016_sales","06/10/2016_stock","07/10/2016_sales","07/10/2016_stock","08/10/2016_sales","08/10/2016_stock","09/10/2016_sales","09/10/2016_stock","10/10/2016_sales","10/10/2016_stock"
"1",80001450,"STN PETRONAS FTSB LU03","EAST2",21840,"80001450-1","PRIMAX 95",NA,788,NA,NA,NA,NA,NA,NA,NA,12276,NA,NA,NA,NA
"2",80001450,"STN PETRONAS FTSB LU03","EAST2",21840,"80001450-2","BIODIESEL B7 (RETAIL)",NA,1954,NA,NA,NA,NA,NA,NA,NA,6710,NA,NA,NA,NA
"3",80003228,"STN PETRONAS KECHAU 01","EAST2",98280,"80003228-4","PRIMAX 95",1058,1058,1136,1143,NA,1056,1233,14252,14252,13331,10032,6112,NA,NA
"4",80003228,"STN PETRONAS KECHAU 01","EAST2",98280,"80003228-1","BIODIESEL B7 (RETAIL)",3918,4621,5422,3171,NA,3826,5747,24692,21017,16106,16399,12862,NA,NA
"5",80003228,"STN PETRONAS KECHAU 01","EAST2",98280,"80003228-3","PRIMAX 95",1058,1058,1135,1144,NA,1055,1233,1368,1368,1368,12784,12784,NA,NA
"6",80003228,"STN PETRONAS KECHAU 01","EAST2",98280,"80003228-2","PRIMAX 95",1058,1058,1135,1144,NA,1055,1234,6918,3573,1319,12705,12705,NA,NA
"7",80003234,"STN PETRONAS FTSB LU02","EAST2",32760,"80003234-2","PRIMAX 95",NA,1751,2178,2283,2964,1899,NA,6126,NA,19563,11598,8428,6146,NA
"8",80003234,"STN PETRONAS FTSB LU02","EAST2",32760,"80003234-1","BIODIESEL B7 (RETAIL)",NA,1325,1285,819,2167,1332,NA,11816,NA,13120,18169,17883,15314,NA
"9",80004633,"FELDA TRADING SDN BHD","SOUTH1",43680,"80004633-1","PRIMAX 95",2246,2260,2515,2431,2466,2523,2385,17592,15472,13071,21601,18872,16489,NA
"10",80004633,"FELDA TRADING SDN BHD","SOUTH1",43680,"80004633-2","BIODIESEL B7 (RETAIL)",1890,1534,1597,1138,1056,1038,1431,10257,8506,6735,10961,9407,8506,NA
"11",80006725,"FELDA TRADING SDN BHD","SOUTH1",54600,"80006725-1","PRIMAX 95",819,733,1182,1082,1080,1373,3743,1909,1810,13118,18340,18340,18340,NA
"12",80006725,"FELDA TRADING SDN BHD","SOUTH1",54600,"80006725-2","PRIMAX 95",818,734,1181,1082,1080,1372,3743,13432,11053,9305,5592,5592,5592,NA
"13",80006725,"FELDA TRADING SDN BHD","SOUTH1",54600,"80006725-4","BIODIESEL B7 (RETAIL)",1646,1134,2240,1563,1576,1652,1815,12759,11126,9232,12386,10743,9146,NA
"14",80006725,"FELDA TRADING SDN BHD","SOUTH1",54600,"80006725-3","PRIMAX 95",818,733,1182,1081,1079,1372,3743,3737,3735,8946,8946,6905,2408,NA
"15",80009705,"STN PETRONAS TERSANG 3","EAST2",49140,"80009705-2","PRIMAX 95",3393,4253,2897,3560,4016,NA,3078,12611,9242,15905,12922,9327,5569,NA
"16",80009705,"STN PETRONAS TERSANG 3","EAST2",49140,"80009705-1","BIODIESEL B7 (RETAIL)",1823,1226,1745,1332,1880,NA,1391,12433,10699,9470,7848,6487,4810,NA
"17",90000039,"SRI JAWI","NORTH2",103740,"90000039-1","PRIMAX 97",497,401,741,584,817,752,554,11361,10759,10460,9865,9276,13798,NA
"18",90000039,"SRI JAWI","NORTH2",103740,"90000039-2","PRIMAX 95",4967,4985,5008,5383,5288,4995,4949,2955,22964,13188,16251,15945,18857,NA
"19",90000039,"SRI JAWI","NORTH2",103740,"90000039-4","BIODIESEL B7 (RETAIL)",3195,3135,2886,2502,2836,1316,3651,18669,21013,17768,15022,12269,15329,NA
"20",90000039,"SRI JAWI","NORTH2",103740,"90000039-3","PRIMAX 95",4967,4986,5009,5384,5288,4994,4950,17464,14715,14408,26615,18369,26619,NA
"21",90000184,"P.Y. HABSAH ENTERPRISE","NORTH2",32760,"90000184-1","PRIMAX 95",2547,2452,2518,2543,3017,3002,2489,18254,18267,23728,23594,16237,17956,NA
"22",90000184,"P.Y. HABSAH ENTERPRISE","NORTH2",32760,"90000184-2","PRIMAX 95",2546,2452,2518,2543,3018,3002,2490,22192,14712,25435,18025,17969,23287,NA
"23",90000184,"P.Y. HABSAH ENTERPRISE","NORTH2",32760,"90000184-3","PRIMAX 95",2547,2452,2518,2544,3018,3001,2489,16055,16055,14112,14126,14098,24724,NA
