Name,ForeignID,Street,Bandar,Postcode,State,District,"Region (North, South, East or Central)",Country Code,Email,Telephone,Mobile,Accessibilty Roadtanker,Binary opening weekdays string,Actual max. size,"Latitude/Longitude, Road",Distribution Channel for SAP field,User Min Stock,User Max Stock,Status,Sold to Name,Sold to ID,ShipTo ID,Sales Organisation for SAP field,"Position Method, Road","Position Method, Home",POI,Overridden terminal for 97,Opening time,No delivery start 2,No delivery start 1,No delivery end 2,No delivery end 1,Name2,Monthly Diesel Quota,Marked for export,"Latitude/Longitude, Home",Last changed by user,Last changed,House Suffix,House Number,GPS-validated,Fax,Division for SAP field,Default terminal,CUSTOMERINFOTEXT23,Customer type,Created by user,Created,Country,"Coordinate, Road","Coordinate, Home",Contact Name,Closing time,Alternative Street,Address District
BTQ - N21 NILAI LINE 1,80046005,"BTQ S/B (Eltramax Ser. S/B), Lot 10, Jalan Labu,",Nilai,,SER,CENTR1,,PEN,rozaini_ramli@petronas.com.my,012-3763779,,10920,1111110,,"(2.725363, 101.933103)",CO,,,Default,BTQ - N21 NILAI LINE 1,90038035,80046005,D001,,,Invalid,,9:00:00,,12:00:00,,13:00:00,,,FALSE,"(2.725363, 101.933103)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:27,Malaysia,"(826157, 301634)","(826157, 301634)",,17:00:00,,- Invalid -
1 REJIMEN SEMPADAN JELI,80001639,"KEM BATU 11 JELI, ,",TANAH MERAH,17500,KEL,COMNAT,,PEN,,135070148,,32760,1111110,,"(5.380641, 101.961329)",CO,,,Default,1 REJIMEN SEMPADAN JELI,90004715,80001639,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(5.380641, 101.961329)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M838,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(828224, 595536)","(828224, 595536)",,17:00:00,,- Invalid -
1 RENJER KEM WARDIBURN,80000352,"JALAN GENTING KLANG, ,","SETAPAH,KUALA LUMPUR",53300,PSK,COMNAT,,PEN,,135070148,,32760,1111110,,"(3.190811, 101.707059)",CO,,,Default,1 RENJER KEM WARDIBURN,90004709,80000352,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(3.190811, 101.707059)",STARSPRD01_ImportServer,20/08/16 1:03,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(800876, 353080)","(800876, 353080)",,17:00:00,,- Invalid -
15 RAMD KEM SENAWANG,80017546,", ,",SEREMBAN,70300,SER,COMNAT,,PEN,,135070148,,27300,1111110,,"(2.687428, 101.920109)",CO,,,Default,15 RAMD KEM SENAWANG,90004710,80017546,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(2.687428, 101.920109)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(824721, 297432)","(824721, 297432)",,17:00:00,,- Invalid -
19 RAMD KEM LAPANGAN TERBANG,80001531,"KEM LAPANGAN TERBANG, ,",SUNGAI PETANI,8000,KED,COMNAT,NORTH,PEN,,135070148,,32760,1111110,,"(5.669237, 100.484850)",CO,,,Default,19 RAMD KEM LAPANGAN TERBANG,90004705,80001531,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(5.669237, 100.484850)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(664442, 626852)","(664442, 626852)",,17:00:00,,- Invalid -
2 ARMOR KEM SUNGGALA,80001621,"ANGKATAN TENTERA MALAYSIA, ,",SIRUSA,71050,SER,COMNAT,,PEN,,135070148,,32760,1111110,,"(2.483077, 101.858023)",CO,,,Default,2 ARMOR KEM SUNGGALA,90004710,80001621,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(2.483077, 101.858023)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(817862, 274800)","(817862, 274800)",,17:00:00,,- Invalid -
2 KOMP ANGKUT KPD,80001555,"KEM JLN TAMBUN, JALAN TAMBUN,",IPOH,30350,PER,COMNAT,,PEN,,135070148,,21840,1111110,,"(4.631899, 101.150994)",CO,,,Default,2 KOMP ANGKUT KPD,90004707,80001555,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(4.631899, 101.150994)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(738631, 512337)","(738631, 512337)",,17:00:00,,- Invalid -
2 PELATUN BEKALAN KP,80001549,"JALAN HOSPITAL, ,",IPOH,30450,PER,COMNAT,,PEN,,135070148,,21840,1111110,,"(4.602182, 101.096767)",CO,,,Default,2 PELATUN BEKALAN KP,90004707,80001549,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(4.602182, 101.096767)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(732622, 509032)","(732622, 509032)",,17:00:00,,- Invalid -
2 RAMD KEM SUNGAI ARA,80001529,"KEM SUNGAI ARA, ,",BAYAN LEPAS,11900,PIN,COMNAT,NORTH,PEN,,135070148,,32760,1111110,,"(5.328884, 100.267059)",CO,,,Default,2 RAMD KEM SUNGAI ARA,90004705,80001529,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(5.328884, 100.267059)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(640398, 589163)","(640398, 589163)",,17:00:00,,- Invalid -
2 REJIMEN SEMPADAN KEM BATU MELINTA,80006375,"KEM BT.MELINTANG JELI KELANTAN, BATU MELINTANG,","JELI, KELANTAN",17600,KEL,COMNAT,,PEN,,135070148,,21840,1111110,,"(5.704643, 101.730270)",CO,,,Default,2 REJIMEN SEMPADAN KEM BATU MELINTA,90004715,80006375,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(5.704643, 101.730270)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M838,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(802429, 631272)","(802429, 631272)",,17:00:00,,- Invalid -
