Textbox78,Textbox20,Textbox24,Textbox28,Textbox32,Textbox36,Textbox8,Id,Id1,Textbox2,Textbox95,TfpId,Textbox5,Textbox79,Textbox21,Textbox25,Textbox29,Textbox33,Textbox37,Textbox9,Textbox67,Textbox68,Textbox69,Textbox70,Textbox73,Textbox76,Textbox82
04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016,STN PETRONAS FTSB LU03,80001450,EAST2,21840,80001450-1,PRIMAX 95,,788,,,,,,,,12276,,,,
04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016,STN PETRONAS FTSB LU03,80001450,EAST2,21840,80001450-2,BIODIESEL B7 (RETAIL),,1954,,,,,,,,6710,,,,
04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016,STN PETRONAS KECHAU 01,80003228,EAST2,98280,80003228-4,PRIMAX 95,1058,1058,1136,1143,,1056,1233,14252,14252,13331,10032,6112,,
04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016,STN PETRONAS KECHAU 01,80003228,EAST2,98280,80003228-1,BIODIESEL B7 (RETAIL),3918,4621,5422,3171,,3826,5747,24692,21017,16106,16399,12862,,
04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016,STN PETRONAS KECHAU 01,80003228,EAST2,98280,80003228-3,PRIMAX 95,1058,1058,1135,1144,,1055,1233,1368,1368,1368,12784,12784,,
04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016,STN PETRONAS KECHAU 01,80003228,EAST2,98280,80003228-2,PRIMAX 95,1058,1058,1135,1144,,1055,1234,6918,3573,1319,12705,12705,,
04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016,STN PETRONAS FTSB LU02,80003234,EAST2,32760,80003234-2,PRIMAX 95,,1751,2178,2283,2964,1899,,6126,,19563,11598,8428,6146,
04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016,STN PETRONAS FTSB LU02,80003234,EAST2,32760,80003234-1,BIODIESEL B7 (RETAIL),,1325,1285,819,2167,1332,,11816,,13120,18169,17883,15314,
04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016,FELDA TRADING SDN BHD,80004633,SOUTH1,43680,80004633-1,PRIMAX 95,2246,2260,2515,2431,2466,2523,2385,17592,15472,13071,21601,18872,16489,
04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016,FELDA TRADING SDN BHD,80004633,SOUTH1,43680,80004633-2,BIODIESEL B7 (RETAIL),1890,1534,1597,1138,1056,1038,1431,10257,8506,6735,10961,9407,8506,
04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016,FELDA TRADING SDN BHD,80006725,SOUTH1,54600,80006725-1,PRIMAX 95,819,733,1182,1082,1080,1373,3743,1909,1810,13118,18340,18340,18340,
